Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Wolfenstein 3D.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Crash Bandicoot 2 - N-Tranced.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Fairly OddParents! - Shadow Showdown.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Tim Burton's The Nightmare Before Christmas - The Pumpkin King.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Yoshi Topsy-Turvy.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Sapphire Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Metroid - Zero Mission.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon - Chaos Black Version.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Fairly OddParents! - Clash with the Anti-World.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mario Golf Advance Tour.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Disney's Lilo & Stitch.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man Zero.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Metroid - Fusion.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mega Man & Bass.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Breath of Fire.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Mario vs. Donkey Kong.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Fairly OddParents! - Breakin' da Rules.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Super Mario Advance 4 - Super Mario Bros. 3.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby Nightmare in Dream Land.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Pokemon Mystery Dungeon - Red Rescue Team.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Kirby & The Amazing Mirror.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Super Mario Advance 2 - Super Mario World.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Wario Land 4.gba" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	System "gba" has no games! Ignoring it.
Jan 08 16:47:52 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/gbc" is not a directory!
Jan 08 16:47:52 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/gbc/gamelist.xml"...
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Legend of Zelda, The - Link's Awakening DX.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Wario Land II.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Legend of Zelda, The - Oracle of Ages.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bomberman Max - Blue Champion.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bomberman Max - Red Challenger.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bomberman Quest.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bugs Bunny - Crazy Castle 4.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bust-A-Move 4.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Bust-A-Move Millennium.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Classic Bubble Bobble.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Cubix - Robots for Everyone - Race 'n Robots.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Donkey Kong Country.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Dragon Warrior I & II.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Dragon Warrior III.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Dragon Warrior Monsters.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Dragon Warrior Monsters 2 - Cobi's Journey.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Dragon Warrior Monsters 2 - Tara's Adventure.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Dragon's Lair.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Earthworm Jim - Menace 2 the Galaxy.gbc" does not exist! Ignoring.
Jan 08 16:47:52 lvl1: 	File "/home/pi/RetroPie/roms/Frogger.gbc" does not exist! Ignoring.
